 TESLA 100D 4x4 - EU - autopilot wer. 2.5 - FV 23%,35055000zł
 TESLA MODEL X 100D JEDYNA TAKA NA ŚWIECIE!,28900000zł
 Tesla model X 100 525 kM nie rejestrowana,20000000zł
 TESLA MODEL S 85D Darmowe ładowanie!,17900000zł
 TESLA MODEL S (5YJS) P85D AWD 772 KM,17500000zł
 TESLA MODEL S (5YJS) 85 421 KM,14990000zł
 TESLA MODEL S (5YJS) P85 421 KM BRUTTO,13490000zł
 HP Q2N66A - HPE NVIDIA Tesla V100 SXM2 16GB Module (Q2N66A),4769049zł
 PNY Tesla V100 32GB HBM2 (TCSV100M32GBPB),4264291zł
 HP Q0C71A - HPE NVIDIA Tesla P100 SXM2 16GB Module (Q0C71A),3854583zł
 PNY Nvidia Tesla V100 Modul 16GB (TCSV100MPCIEPB),3842417zł
 PNY Tesla P40M 24GB (TCSP40M24GBPB),3125628zł
 PNY NVidia Tesla P100 16GB (TCSP100M-16),3099900zł
 HP Q0V80A - HPE NVIDIA Tesla P40 24GB Module (Q0V80A),2921508zł
 PNY NVidia Tesla M40 24GB (TCSM40M-24GB-PB),2750000zł
 PNY NVidia Tesla P100 12GB (TCSP100M-12),2599900zł
 Lenovo 00YL377 - NVidia Tesla M60 GPU PCIe (active) (00YL377),2583199zł
 Lenovo 00KG655 - NVIDIA Tesla M60 GPU PCIe (passive) (00KG655),2583199zł
 PNY Tesla M40M 12GB (TCSM40MPB),2582043zł
 PNY Tesla M40 (TCSM40M12),2399900zł
 HP 805133-B21 - HP MultiGPU Carrier 2 Tesla M6 FIO Adptr (805133B21),2391170zł
 HP M3X67A - HPE NVIDIA Tesla M60 RAF Dual GPU Module (M3X67A),2389841zł
 HP 872629-B21 - HPE BladeSystem NV Tesla M60 FIO Kit (872629B21),2389841zł
 HP J0X21A - HPE NVIDIA Tesla M60 Dual GPU Module (J0X21A),2389841zł
 PNY Tesla P100 12GB (TCSP100M12GBPB),2303401zł
 PNY Tesla M60 (TCSM60CARDLONGPB),2303401zł
 PNY Tesla M60 (TCSM60ML2RPB),2303401zł
 PNY Tesla M60 (TCSM60MR2LPB),2303401zł
 PNY Tesla M60 (TCSM60CARDSHORTPB),2303401zł
 PNY Tesla K80 24GB (TCSK80MPB),2290000zł
 Lenovo 47C2137 - NVIDIA Tesla K40 for Flex System PCIe Expansion Node (47C2137),2054354zł
 PNY Tesla K40C 12GB (TCSK40CARDPB),1780031zł
 HP F1R08AR - HP NVIDIA Tesla K40 12GB Reman Module (F1R08AR),1692561zł
 PNY Tesla K40M (TCSK40MPB),1650000zł
 PNY Tesla M10M (TCSM10MPB),1215200zł
 HP 826042-B21 - HPE SY 480 NVIDIA Tesla M6 FIO Mezz Card (826042B21),1167008zł
 HP 869224-B21 - HPE SY 480 NVIDIA Tesla M6 Mezz Card (869224B21),1133779zł
